city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time,lat_bin,long_bin
oak forest,il,United States,light,1200.0,20min,10/20/2005,41.6027778,-87.7438889,10/18/2005,18:00,"(41.246, 41.721]","(-87.821, -85.922]"
louisville,ky,United States,changing,720.0,12 minutes,10/20/2005,38.2541667,-85.7594444,10/18/2005,19:23,"(37.669, 38.582]","(-85.922, -83.971]"
hillsboro,ky,United States,sphere,3600.0,1 hour,10/20/2005,38.2933333,-83.6588889,10/18/2005,19:30,"(37.669, 38.582]","(-83.971, -82.495]"
downingtown,pa,United States,cylinder,60.0,1 minute,11/3/2005,40.0063889,-75.7036111,10/18/2005,20:30,"(39.927, 40.655]","(-76.978, -74.629]"
orlando,fl,United States,other,10.0,10 seconds,11/3/2005,28.5380556,-81.3794444,10/18/2005,23:00,"(27.9, 30.421]","(-82.495, -80.966]"
albuquerque,nm,United States,other,4.0,4 seconds,10/30/2006,35.0844444,-106.6505556,10/18/2006,00:40,"(34.148, 35.227]","(-111.694, -104.058]"
wilmington,nc,United States,cigar,300.0,5min,12/7/2006,34.2255556,-77.945,10/18/2006,17:00,"(34.148, 35.227]","(-79.417, -76.978]"
memphis,tn,United States,light,60.0,one minute,10/30/2006,35.1494444,-90.0488889,10/18/2006,19:30,"(34.148, 35.227]","(-90.198, -87.821]"
santa maria,ca,United States,teardrop,600.0,10 minutes,10/30/2006,34.9530556,-120.4347222,10/18/2006,19:45,"(34.148, 35.227]","(-121.787, -118.34]"
peoria,az,United States,light,10.0,10 seconds,10/30/2006,33.5805556,-112.2366667,10/18/2006,21:00,"(32.776, 33.631]","(-116.419, -111.694]"
simi valley,ca,United States,light,6.0,6 seconds,10/30/2006,34.2694444,-118.7805556,10/18/2006,21:48,"(34.148, 35.227]","(-121.787, -118.34]"
carbondale,il,United States,triangle,15.0,15 seconds,12/7/2006,37.7272222,-89.2166667,10/18/2006,22:00,"(37.669, 38.582]","(-90.198, -87.821]"
waterford,mi,United States,triangle,180.0,2-3 minutes,10/30/2006,42.7022222,-83.4027778,10/18/2006,23:00,"(42.439, 43.174]","(-83.971, -82.495]"
los angeles,ca,United States,circle,600.0,10 minutes,2/27/2014,34.0522222,-118.2427778,10/18/2007,15:00,"(33.631, 34.148]","(-118.34, -116.419]"
gillingham (uk/england),,United Kingdom,light,180.0,3 mins,11/28/2007,51.4,0.566667,10/18/2007,21:10,"(48.88, 70.292]","(-3.381, 178.018]"
hendersonvlle,tn,United States,triangle,120.0,2 minutes,11/28/2007,36.304774,-86.619996,10/18/2007,21:30,"(36.2, 37.669]","(-87.821, -85.922]"
myrtle beach,sc,United States,other,300.0,5 minutes,11/28/2007,33.6888889,-78.8869444,10/18/2007,21:30,"(33.631, 34.148]","(-79.417, -76.978]"
myrtle beach,sc,United States,light,420.0,5 -7 minutes,11/28/2007,33.6888889,-78.8869444,10/18/2007,21:45,"(33.631, 34.148]","(-79.417, -76.978]"
keller,tx,United States,light,1200.0,20 minutes,11/28/2007,32.9344444,-97.2513889,10/18/2007,23:15,"(32.776, 33.631]","(-104.058, -96.949]"
manchester (uk/england),,United Kingdom,sphere,60.0,1min,11/28/2007,53.5,-2.216667,10/18/2007,23:45,"(48.88, 70.292]","(-3.381, 178.018]"
gardendale,al,United States,sphere,1200.0,more than 20 minutes,10/31/2008,33.66,-86.8127778,10/18/2008,01:00,"(33.631, 34.148]","(-87.821, -85.922]"
farmers branch,tx,United States,light,60.0,<1min,10/31/2008,32.9263889,-96.8958333,10/18/2008,03:40,"(32.776, 33.631]","(-96.949, -93.855]"
cornwall,ny,United States,disk,5.0,5 seconds,10/31/2008,41.434338,-74.035368,10/18/2008,08:05,"(41.246, 41.721]","(-74.629, -72.787]"
rosebud,tx,United States,oval,300.0,5 minutes,10/31/2008,31.0727778,-96.9783333,10/18/2008,13:45,"(30.421, 32.776]","(-104.058, -96.949]"
wentzville,mo,United States,unknown,600.0,10 mins,10/31/2008,38.8113889,-90.8527778,10/18/2008,17:30,"(38.582, 39.162]","(-93.855, -90.198]"
pacifica to belmont,ca,United States,light,600.0,10 minutes,1/10/2009,37.520215,-122.275801,10/18/2008,18:00,"(36.2, 37.669]","(-122.483, -121.787]"
kankakee (approx. 5 mi. s of),il,United States,flash,1.0,1 second,10/31/2008,41.12,-87.8611111,10/18/2008,19:50,"(40.655, 41.246]","(-90.198, -87.821]"
dallas,tx,United States,light,7.0,7 seconds,10/31/2008,32.7833333,-96.8,10/18/2008,20:00,"(32.776, 33.631]","(-96.949, -93.855]"
indianapolis,in,United States,light,1.0,1 second each,10/31/2008,39.7683333,-86.1580556,10/18/2008,20:00,"(39.162, 39.927]","(-87.821, -85.922]"
tucson,az,United States,changing,1800.0,30 min. but still there,10/31/2008,32.2216667,-110.9258333,10/18/2008,20:30,"(30.421, 32.776]","(-111.694, -104.058]"
asheville,nc,United States,diamond,5.0,5 seconds,10/31/2008,35.6008333,-82.5541667,10/18/2008,23:00,"(35.227, 36.2]","(-83.971, -82.495]"
culpeper,va,United States,formation,1800.0,30 minutes,10/31/2008,38.4730556,-77.9969444,10/18/2008,23:00,"(37.669, 38.582]","(-79.417, -76.978]"
leuven (belgium),,Belgium,circle,4.0,about 4 seconds,10/31/2008,50.866667,4.7,10/18/2008,23:45,"(48.88, 70.292]","(-3.381, 178.018]"
raleigh,nc,United States,unknown,120.0,2 mins,12/12/2009,35.7719444,-78.6388889,10/18/2009,00:00,"(35.227, 36.2]","(-79.417, -76.978]"
milwaukee,wi,United States,unknown,30.0,~30 seconds,12/12/2009,43.0388889,-87.9063889,10/18/2009,04:00,"(42.439, 43.174]","(-90.198, -87.821]"
st. paul (694e and also 96),mn,United States,light,120.0,several minutes,12/12/2009,44.9444444,-93.0930556,10/18/2009,20:00,"(44.712, 46.73]","(-93.855, -90.198]"
senekal (south africa),,South africa,light,180.0,3min,12/12/2009,-28.316667,27.6,10/18/2009,20:45,"(-46.165, 27.9]","(-3.381, 178.018]"
bloemfontein (free state),,Fuck,circle,60.0,1 minute or so,12/12/2009,-29.1,26.216667,10/18/2009,22:00,"(-46.165, 27.9]","(-3.381, 178.018]"
ft. lauderdade,fl,United States,other,20.0,20 secs.,12/12/2009,26.122439,-80.137317,10/18/2009,22:00,"(-46.165, 27.9]","(-80.966, -79.417]"
mossel bay (south africa),,South africa,circle,600.0,10 min or more,12/12/2009,-34.183333,22.133333,10/18/2009,22:00,"(-46.165, 27.9]","(-3.381, 178.018]"
helena,ok,United States,triangle,3.0,3 seconds,11/21/2010,36.5461111,-98.2697222,10/18/2010,02:45,"(36.2, 37.669]","(-104.058, -96.949]"
highland,ny,United States,triangle,60.0,1 minute,11/21/2010,41.7208333,-73.9605556,10/18/2010,04:00,"(41.246, 41.721]","(-74.629, -72.787]"
huger,sc,United States,light,15.0,15 seconds,11/21/2010,33.0963889,-79.8036111,10/18/2010,05:00,"(32.776, 33.631]","(-80.966, -79.417]"
martinez,ca,United States,unknown,30.0,30sec,11/21/2010,38.0194444,-122.1330556,10/18/2010,06:30,"(37.669, 38.582]","(-122.483, -121.787]"
honeoye falls,ny,United States,,10.0,10 seconds,11/21/2010,42.9522222,-77.5905556,10/18/2010,07:30,"(42.439, 43.174]","(-79.417, -76.978]"
ackworth (uk/england),,United Kingdom,rectangle,120.0,2 minutes,10/10/2011,53.65,-1.333333,10/18/2010,15:00,"(48.88, 70.292]","(-3.381, 178.018]"
pittsburgh,pa,United States,changing,300.0,about 5 minutes,11/21/2010,40.4405556,-79.9961111,10/18/2010,16:00,"(39.927, 40.655]","(-80.966, -79.417]"
reidsville,ga,United States,triangle,300.0,one hour and approximatel,11/21/2010,32.0866667,-82.1180556,10/18/2010,20:40,"(30.421, 32.776]","(-82.495, -80.966]"
katy,tx,United States,disk,10800.0,3 hr,10/25/2011,29.7855556,-95.8241667,10/18/2011,00:00,"(27.9, 30.421]","(-96.949, -93.855]"
portland,or,United States,formation,600.0,5-10 minutes,10/25/2011,45.5236111,-122.675,10/18/2011,00:15,"(44.712, 46.73]","(-169.543, -122.483]"
baylis,il,United States,other,300.0,5 mins.,10/25/2011,39.7283333,-90.9080556,10/18/2011,01:40,"(39.162, 39.927]","(-93.855, -90.198]"
queen creek,az,United States,cylinder,900.0,15 minutes,10/19/2011,33.2486111,-111.6336111,10/18/2011,03:15,"(32.776, 33.631]","(-111.694, -104.058]"
burwell,ne,United States,sphere,900.0,15 minutes,10/25/2011,41.7816667,-99.1327778,10/18/2011,03:30,"(41.721, 42.439]","(-104.058, -96.949]"
chesapeake,va,United States,light,900.0,15 min,10/19/2011,36.8188889,-76.2752778,10/18/2011,05:00,"(36.2, 37.669]","(-76.978, -74.629]"
pasadena,md,United States,light,2.0,1-2 seconds,10/25/2011,39.1072222,-76.5713889,10/18/2011,06:00,"(38.582, 39.162]","(-76.978, -74.629]"
shelbyville,tn,United States,oval,120.0,2 min,10/25/2011,35.4833333,-86.4602778,10/18/2011,15:13,"(35.227, 36.2]","(-87.821, -85.922]"
country club hills,il,United States,disk,600.0,10 minutes,10/19/2011,41.5680556,-87.7202778,10/18/2011,19:00,"(41.246, 41.721]","(-87.821, -85.922]"
knoxville,tn,United States,oval,300.0,5 min.,10/19/2011,35.9605556,-83.9208333,10/18/2011,20:00,"(35.227, 36.2]","(-83.971, -82.495]"
morris,il,United States,other,720.0,12 min,12/12/2011,41.3572222,-88.4211111,10/18/2011,20:15,"(41.246, 41.721]","(-90.198, -87.821]"
dupont,wa,United States,formation,300.0,3-5 minutes,10/19/2011,47.0969444,-122.63,10/18/2011,20:20,"(46.73, 48.88]","(-169.543, -122.483]"
glendale,az,United States,triangle,15.0,15sec,10/25/2011,33.5386111,-112.1852778,10/18/2011,20:35,"(32.776, 33.631]","(-116.419, -111.694]"
coburg,or,United States,triangle,1800.0,30 min,10/25/2011,44.1372222,-123.0652778,10/18/2011,21:30,"(43.174, 44.712]","(-169.543, -122.483]"
bothell,wa,United States,disk,480.0,8 minutes,10/25/2011,47.7625,-122.2041667,10/18/2011,22:15,"(46.73, 48.88]","(-122.483, -121.787]"
san francisco,ca,United States,fireball,120.0,2 minutes,10/25/2011,37.775,-122.4183333,10/18/2011,23:15,"(37.669, 38.582]","(-122.483, -121.787]"
san diego,ca,United States,circle,900.0,15 minutes,10/30/2012,32.7152778,-117.1563889,10/18/2012,01:00,"(30.421, 32.776]","(-118.34, -116.419]"
greewood (canada),ns,Canada,flash,3600.0,>1hour,10/30/2012,44.971725,-64.934129,10/18/2012,05:00,"(44.712, 46.73]","(-72.787, -3.381]"
cardiff (south wales) (uk/wales),,United Kingdom,light,3600.0,1.00 hour,10/30/2012,51.5,-3.2,10/18/2012,05:50,"(48.88, 70.292]","(-3.381, 178.018]"
lexington,sc,United States,sphere,20.0,20 seconds,10/30/2012,33.9813889,-81.2363889,10/18/2012,07:45,"(33.631, 34.148]","(-82.495, -80.966]"
gagetown (canada),nb,Canada,oval,300.0,5 minutes,10/30/2012,45.766667,-66.15,10/18/2012,09:00,"(44.712, 46.73]","(-72.787, -3.381]"
alsip,il,United States,rectangle,180.0,3 minutes,10/30/2012,41.6688889,-87.7386111,10/18/2012,16:30,"(41.246, 41.721]","(-87.821, -85.922]"
lockport,il,United States,oval,180.0,3 minutes,10/30/2012,41.5894444,-88.0577778,10/18/2012,19:45,"(41.246, 41.721]","(-90.198, -87.821]"
brockton,ma,United States,triangle,300.0,3-5 minutes,10/30/2012,42.0833333,-71.0188889,10/18/2012,19:50,"(41.721, 42.439]","(-72.787, -3.381]"
wolfsville,md,United States,triangle,5.0,5 seconds,10/30/2012,39.5741667,-77.5508333,10/18/2012,20:15,"(39.162, 39.927]","(-79.417, -76.978]"
bay village,oh,United States,sphere,600.0,10 minutes,10/30/2012,41.4847222,-81.9222222,10/18/2012,20:50,"(41.246, 41.721]","(-82.495, -80.966]"
umpire,ar,United States,oval,300.0,5 minutes,10/30/2012,34.2788889,-94.0505556,10/18/2012,21:00,"(34.148, 35.227]","(-96.949, -93.855]"
bonneville salt flats (unincorp.),ut,United States,other,2700.0,30-45 minutes,10/30/2012,40.799722,-113.8,10/18/2012,21:20,"(40.655, 41.246]","(-116.419, -111.694]"
fairbanks,ak,United States,light,600.0,5-10 minutes,10/30/2012,64.8377778,-147.7163889,10/18/2012,21:30,"(48.88, 70.292]","(-169.543, -122.483]"
rumford,ri,United States,light,1800.0,30 minutes,10/30/2012,41.8452778,-71.3525,10/18/2012,22:00,"(41.721, 42.439]","(-72.787, -3.381]"
south burlington,vt,United States,oval,120.0,2 minutes,10/30/2012,44.4669444,-73.1713889,10/18/2012,22:30,"(43.174, 44.712]","(-74.629, -72.787]"
tampa,fl,United States,diamond,180.0,3 minutes,10/30/2012,27.9472222,-82.4586111,10/18/2012,23:40,"(27.9, 30.421]","(-82.495, -80.966]"
springfield,ma,United States,oval,30.0,~30 seconds,10/30/2012,42.1013889,-72.5902778,10/18/2012,23:45,"(41.721, 42.439]","(-72.787, -3.381]"
keizer,or,United States,fireball,30.0,30 seconds,10/23/2013,44.9902778,-123.025,10/18/2013,00:00,"(44.712, 46.73]","(-169.543, -122.483]"
litchfield,nh,United States,circle,180.0,3 minutes,10/23/2013,42.8441667,-71.4802778,10/18/2013,01:45,"(42.439, 43.174]","(-72.787, -3.381]"
boca raton,fl,United States,fireball,600.0,10 minutes,10/23/2013,26.3583333,-80.0833333,10/18/2013,08:00,"(-46.165, 27.9]","(-80.966, -79.417]"
pullman,wa,United States,light,600.0,10 minutes,10/23/2013,46.7313889,-117.1786111,10/18/2013,17:30,"(46.73, 48.88]","(-118.34, -116.419]"
antelope,ca,United States,cylinder,600.0,10 minutes,10/23/2013,38.7083333,-121.3288889,10/18/2013,19:00,"(38.582, 39.162]","(-121.787, -118.34]"
milton,vt,United States,light,900.0,15 minutes,10/23/2013,44.6397222,-73.1108333,10/18/2013,19:15,"(43.174, 44.712]","(-74.629, -72.787]"
pinecrest/sonora,ca,United States,unknown,2700.0,45 minutes,10/23/2013,37.98295,-120.382172,10/18/2013,19:15,"(37.669, 38.582]","(-121.787, -118.34]"
heer (belgium),,Belgium,unknown,30.0,30 seconds,10/23/2013,50.75368,5.30209,10/18/2013,19:19,"(48.88, 70.292]","(-3.381, 178.018]"
victoria (canada),bc,Canada,light,600.0,10 minutes,10/23/2013,46.216667,-63.483333,10/18/2013,19:30,"(44.712, 46.73]","(-72.787, -3.381]"
duluth,mn,United States,light,30.0,20-30 seconds,10/23/2013,46.7833333,-92.1063889,10/18/2013,19:40,"(46.73, 48.88]","(-93.855, -90.198]"
clarksville,tn,United States,unknown,45.0,45 seconds,10/23/2013,36.5297222,-87.3594444,10/18/2013,19:45,"(36.2, 37.669]","(-87.821, -85.922]"
dallas,tx,United States,circle,7200.0,2 hours,10/23/2013,32.7833333,-96.8,10/18/2013,20:00,"(32.776, 33.631]","(-96.949, -93.855]"
dayton/drexel,oh,United States,sphere,360.0,6 minutes,10/23/2013,39.74844,-84.283398,10/18/2013,20:00,"(39.162, 39.927]","(-85.922, -83.971]"
washington,pa,United States,formation,30.0,30 seconds,10/23/2013,40.1738889,-80.2463889,10/18/2013,20:12,"(39.927, 40.655]","(-80.966, -79.417]"
sellersburg,in,United States,fireball,90.0,90 seconds,10/23/2013,38.3980556,-85.755,10/18/2013,20:15,"(37.669, 38.582]","(-85.922, -83.971]"
washington,pa,United States,triangle,300.0,5 minutes,10/23/2013,40.1738889,-80.2463889,10/18/2013,20:15,"(39.927, 40.655]","(-80.966, -79.417]"
bedford,nh,United States,fireball,600.0,10 minutes,10/23/2013,42.9463889,-71.5163889,10/18/2013,21:30,"(42.439, 43.174]","(-72.787, -3.381]"
oxford,ga,United States,sphere,60.0,1 minute,10/23/2013,33.6188889,-83.8675,10/18/2013,21:30,"(32.776, 33.631]","(-83.971, -82.495]"
sarasota,fl,United States,fireball,180.0,2-3 minutes,10/23/2013,27.3361111,-82.5308333,10/18/2013,21:30,"(-46.165, 27.9]","(-83.971, -82.495]"
lawrenceville,ga,United States,other,180.0,3 minutes,11/11/2013,33.9561111,-83.9880556,10/18/2013,21:33,"(33.631, 34.148]","(-85.922, -83.971]"
sarasota,fl,United States,light,900.0,2-15 minutes,10/23/2013,27.3361111,-82.5308333,10/18/2013,21:40,"(-46.165, 27.9]","(-83.971, -82.495]"
cincinnati,oh,United States,fireball,300.0,5 minutes,10/23/2013,39.1619444,-84.4569444,10/18/2013,21:45,"(38.582, 39.162]","(-85.922, -83.971]"
norwood,oh,United States,fireball,900.0,15 minutes,10/23/2013,39.1555556,-84.4597222,10/18/2013,22:34,"(38.582, 39.162]","(-85.922, -83.971]"
norwood,oh,United States,fireball,900.0,15 minutes,10/23/2013,39.1555556,-84.4597222,10/18/2013,22:34,"(38.582, 39.162]","(-85.922, -83.971]"
west yarmouth,ma,United States,circle,45.0,45 seconds,10/23/2013,41.7055556,-70.2291667,10/18/2013,22:35,"(41.246, 41.721]","(-72.787, -3.381]"
dinosaur colorado,co,United States,changing,14400.0,4 hours,10/23/2013,40.243578,-109.014561,10/18/2013,23:00,"(39.927, 40.655]","(-111.694, -104.058]"
noblesville,in,United States,formation,900.0,15 minutes,10/23/2013,40.0455556,-86.0086111,10/18/2013,23:30,"(39.927, 40.655]","(-87.821, -85.922]"
los banos&#44 laguna (philippines),,Philippines,unknown,60.0,1 minute,2/16/1999,14.169912,121.244063,10/19/1977,21:30,"(-46.165, 27.9]","(-3.381, 178.018]"
bald knob,ar,United States,triangle,600.0,10 min,11/21/2010,35.3097222,-91.5677778,10/19/1980,01:00,"(35.227, 36.2]","(-93.855, -90.198]"
reykjavik (iceland),,Iceland,disk,5.0,5 seconds,6/12/2008,64.133333,-21.933333,10/19/1983,04:55,"(48.88, 70.292]","(-72.787, -3.381]"
new york city (jamaica) (queens),ny,United States,disk,8.0,8 seconds,9/24/2012,40.7141667,-74.0063889,10/19/1992,14:00,"(40.655, 41.246]","(-74.629, -72.787]"
medina,oh,United States,sphere,1200.0,20 minutes,9/24/2003,41.1383333,-81.8638889,10/19/1994,07:30,"(40.655, 41.246]","(-82.495, -80.966]"
colorado springs,co,United States,other,10.0,10 seconds,8/5/2001,38.8338889,-104.8208333,10/19/1995,01:00,"(38.582, 39.162]","(-111.694, -104.058]"
rocky point,wa,United States,,60.0,1 minute,11/2/1999,47.5930556,-122.6672222,10/19/1995,05:30,"(46.73, 48.88]","(-169.543, -122.483]"
vancouver,wa,United States,,180.0,3 min.,11/2/1999,45.6388889,-122.6602778,10/19/1995,09:15,"(44.712, 46.73]","(-169.543, -122.483]"
beaverton,or,United States,,45.0,45 sec.,11/2/1999,45.4872222,-122.8025,10/19/1995,19:15,"(44.712, 46.73]","(-169.543, -122.483]"
attleboro,ma,United States,light,600.0,10 minutes,1/16/2014,41.9444444,-71.2861111,10/19/1997,02:00,"(41.721, 42.439]","(-72.787, -3.381]"
crofton,md,United States,other,7200.0,approx. 2 hrs.,1/28/1999,39.0016667,-76.6877778,10/19/1997,02:00,"(38.582, 39.162]","(-76.978, -74.629]"
vernal,ut,United States,unknown,7200.0,2:00 hrs.,11/19/1998,40.4555556,-109.5280556,10/19/1998,00:34,"(39.927, 40.655]","(-111.694, -104.058]"
las vegas,nv,United States,sphere,2.0,2 sec.,11/1/1998,36.175,-115.1363889,10/19/1998,01:30,"(35.227, 36.2]","(-116.419, -111.694]"
chesterville (canada),on,Canada,disk,420.0,5-7mins,4/27/2004,45.966667,-71.816667,10/19/1998,04:40,"(44.712, 46.73]","(-72.787, -3.381]"
vancouver,wa,United States,light,5.0,3-5 seconds,11/1/1998,45.6388889,-122.6602778,10/19/1998,12:42,"(44.712, 46.73]","(-169.543, -122.483]"
big arm,mt,United States,disk,600.0,5-10 minutes,11/1/1998,47.7980556,-114.2938889,10/19/1998,16:30,"(46.73, 48.88]","(-116.419, -111.694]"
virginia beach,va,United States,fireball,600.0,10 min,11/19/1998,36.8527778,-75.9783333,10/19/1998,18:00,"(36.2, 37.669]","(-76.978, -74.629]"
defiance,oh,United States,triangle,60.0,1 minute,11/1/1998,41.2844444,-84.3558333,10/19/1998,21:30,"(41.246, 41.721]","(-85.922, -83.971]"
deweyville,ut,United States,sphere,15.0,15secs,11/1/1998,41.7105556,-112.0894444,10/19/1998,21:35,"(41.246, 41.721]","(-116.419, -111.694]"
tampa,fl,United States,circle,1800.0,30 minutes,11/1/1998,27.9472222,-82.4586111,10/19/1998,21:45,"(27.9, 30.421]","(-82.495, -80.966]"
antwerp,oh,United States,triangle,600.0,10 minutes,3/4/2008,41.1813889,-84.7405556,10/19/1998,22:30,"(40.655, 41.246]","(-85.922, -83.971]"
van nuys,ca,United States,triangle,5.0,3-5 secs,11/17/1999,34.1866667,-118.4480556,10/19/1999,03:10,"(34.148, 35.227]","(-121.787, -118.34]"
mesa,az,United States,light,300.0,5min.,11/2/1999,33.4222222,-111.8219444,10/19/1999,05:45,"(32.776, 33.631]","(-116.419, -111.694]"
everson,wa,United States,other,1500.0,20-25 min,11/2/1999,48.9202778,-122.3413889,10/19/1999,07:35,"(48.88, 70.292]","(-122.483, -121.787]"
bozeman,mt,United States,unknown,900.0,15min,11/2/1999,45.6797222,-111.0377778,10/19/1999,17:30,"(44.712, 46.73]","(-111.694, -104.058]"
santa clarita valley,ca,United States,disk,90.0,1.5,11/2/1999,34.417924,-118.542512,10/19/1999,18:30,"(34.148, 35.227]","(-121.787, -118.34]"
indianapolis (southeast),in,United States,light,5.0,5 seconds,11/2/1999,39.7683333,-86.1580556,10/19/1999,19:20,"(39.162, 39.927]","(-87.821, -85.922]"
superior,co,United States,light,720.0,approx 12 min,11/2/1999,39.9527778,-105.1680556,10/19/1999,20:00,"(39.927, 40.655]","(-111.694, -104.058]"
apache junction (east of),az,United States,other,28800.0,5-8 hours,2/24/2001,33.415,-111.5488889,10/19/1999,22:00,"(32.776, 33.631]","(-111.694, -104.058]"
round rock,tx,United States,sphere,300.0,more than 5 min.,10/30/2006,30.5080556,-97.6786111,10/19/1999,22:45,"(30.421, 32.776]","(-104.058, -96.949]"
conway,ar,United States,triangle,900.0,15 min,11/2/1999,35.0886111,-92.4419444,10/19/1999,23:35,"(34.148, 35.227]","(-93.855, -90.198]"
pickering (canada),on,Canada,circle,600.0,5 - 10 minutes,12/2/2000,43.866667,-79.033333,10/19/2000,00:15,"(43.174, 44.712]","(-79.417, -76.978]"
waxhaw,nc,United States,,2.0,2sec,12/2/2000,34.9244444,-80.7436111,10/19/2000,05:28,"(34.148, 35.227]","(-80.966, -79.417]"
old fort,tn,United States,cigar,30.0,20-30 sec,12/2/2000,35.040269,-84.730186,10/19/2000,06:30,"(34.148, 35.227]","(-85.922, -83.971]"
salt lake city,ut,United States,sphere,180.0,2-3 minutes,12/2/2000,40.7608333,-111.8902778,10/19/2000,07:40,"(40.655, 41.246]","(-116.419, -111.694]"
hatfield,ma,United States,light,4.0,4 seconds,12/2/2000,42.3708333,-72.5986111,10/19/2000,20:00,"(41.721, 42.439]","(-72.787, -3.381]"
sherwood park (canada),ab,Canada,unknown,2.0,1 to 2 seconds,12/2/2000,53.516667,-113.316667,10/19/2000,20:00,"(48.88, 70.292]","(-116.419, -111.694]"
baranduda (australia),,Australia,sphere,120.0,2 minutes,12/2/2000,-36.2,146.966667,10/19/2000,21:30,"(-46.165, 27.9]","(-3.381, 178.018]"
wicklow (republic of ireland),,Ireland,egg,180.0,3 minutes,11/20/2001,52.980821,-6.044589,10/19/2001,00:30,"(48.88, 70.292]","(-72.787, -3.381]"
vanceburg,ky,United States,fireball,300.0,5 minutes,11/20/2001,38.5991667,-83.3188889,10/19/2001,19:50,"(38.582, 39.162]","(-83.971, -82.495]"
buckley,wa,United States,triangle,25.0,25 seconds,11/20/2001,47.1633333,-122.0255556,10/19/2001,20:05,"(46.73, 48.88]","(-122.483, -121.787]"
phoenix,az,United States,triangle,15.0,15 seconds,11/20/2001,33.4483333,-112.0733333,10/19/2001,20:45,"(32.776, 33.631]","(-116.419, -111.694]"
bothell,wa,United States,unknown,180.0,3 min.,11/20/2001,47.7625,-122.2041667,10/19/2001,22:00,"(46.73, 48.88]","(-122.483, -121.787]"
wendell,id,United States,light,480.0,7-8 minutes,11/20/2001,42.7758333,-114.7033333,10/19/2001,22:05,"(42.439, 43.174]","(-116.419, -111.694]"
story city,ia,United States,triangle,5.0,5 seconds,10/28/2002,42.1872222,-93.5955556,10/19/2002,00:34,"(41.721, 42.439]","(-93.855, -90.198]"
long beach,ca,United States,disk,240.0,4 minutes,10/28/2002,33.7669444,-118.1883333,10/19/2002,01:30,"(33.631, 34.148]","(-118.34, -116.419]"
hells canyon,or,United States,sphere,5.0,5 seconds,11/4/2002,45.371271,-116.638199,10/19/2002,02:00,"(44.712, 46.73]","(-118.34, -116.419]"
new orleans,la,United States,unknown,120.0,2min,10/28/2002,29.9544444,-90.075,10/19/2002,08:45,"(27.9, 30.421]","(-90.198, -87.821]"
calgary (canada),ab,Canada,egg,600.0,10 mins,10/28/2002,51.083333,-114.083333,10/19/2002,17:50,"(48.88, 70.292]","(-116.419, -111.694]"
lacenter,wa,United States,other,4.0,4 seconds,10/28/2002,45.862337,-122.670378,10/19/2002,18:50,"(44.712, 46.73]","(-169.543, -122.483]"
modesto,ca,United States,changing,7200.0,2 hours,10/31/2003,37.6391667,-120.9958333,10/19/2003,02:45,"(36.2, 37.669]","(-121.787, -118.34]"
cottage grove,mn,United States,triangle,600.0,7-10 min&#44,10/31/2003,44.8277778,-92.9436111,10/19/2003,05:45,"(44.712, 46.73]","(-93.855, -90.198]"
telkwa (canada),bc,Canada,sphere,6.0,6 seconds,10/31/2003,54.695016,-127.04761,10/19/2003,12:00,"(48.88, 70.292]","(-169.543, -122.483]"
laredo,tx,United States,sphere,1500.0,25 min,10/31/2003,27.5061111,-99.5072222,10/19/2003,12:30,"(-46.165, 27.9]","(-104.058, -96.949]"
fort myers,fl,United States,oval,8.0,6-8 sec.,11/11/2003,26.6402778,-81.8725,10/19/2003,15:30,"(-46.165, 27.9]","(-82.495, -80.966]"
center,tx,United States,oval,10.0,10 seconds,10/31/2003,31.7952778,-94.1788889,10/19/2003,16:00,"(30.421, 32.776]","(-96.949, -93.855]"
turners falls,ma,United States,light,300.0,3-5 minutes,11/26/2003,42.6041667,-72.5569444,10/19/2003,16:30,"(42.439, 43.174]","(-72.787, -3.381]"
indianapolis,in,United States,unknown,3.0,1 to 3 seconds,10/31/2003,39.7683333,-86.1580556,10/19/2003,17:05,"(39.162, 39.927]","(-87.821, -85.922]"
fontana,ca,United States,other,3.0,3 seconds,10/31/2003,34.0922222,-117.4341667,10/19/2003,17:30,"(33.631, 34.148]","(-118.34, -116.419]"
fareham (uk/england),,United Kingdom,other,1.0,second,10/31/2003,50.85,-1.183333,10/19/2003,19:00,"(48.88, 70.292]","(-3.381, 178.018]"
buena park,ca,United States,other,15.0,15 seconds,10/31/2003,33.8675,-117.9972222,10/19/2003,21:30,"(33.631, 34.148]","(-118.34, -116.419]"
monson,me,United States,triangle,900.0,10 - 15 minutes,10/31/2003,45.2869444,-69.5016667,10/19/2003,23:30,"(44.712, 46.73]","(-72.787, -3.381]"
vancouver (canada),bc,Canada,light,3.0,3 seconds,10/31/2003,49.25,-123.133333,10/19/2003,23:30,"(48.88, 70.292]","(-169.543, -122.483]"
grand island,ne,United States,light,3600.0,over 1 hr.,11/2/2004,40.925,-98.3416667,10/19/2004,20:00,"(40.655, 41.246]","(-104.058, -96.949]"
colwyn bay (uk/wales&#44 north country),,United Kingdom,other,18000.0,5 hrs,11/3/2005,53.3,-3.75,10/19/2005,01:30,"(48.88, 70.292]","(-72.787, -3.381]"
